,0,1
960,anjirrrr,anjir
961,jendess,janda
962,dh,dah
963,sichh,sih
964,namnya,namanya
965,geh,gih
966,nggak,tidak
967,22nya,dua-duanya
968,aduuhhh,aduh
969,miripp,mirip
970,silauuu,silau
971,waww,wow
972,uga,juga
973,njiirr,anjir
974,bgs,bagus
975,kesinii,kesini
976,gemay,gemas
977,dstu,disitu
978,wiiiihhhh,wih
979,samoga,semoga
980,kereennn,keren
981,wahh,wah
982,nyangkaa,menyangka
983,hasilnyaaa,hasilnya
984,dahhhh,dah
985,mudah2,mudah-mudah
986,jugaakk,juga
987,prnh,pernah
988,diapa2in,diapa-apai
989,yaak,ya
990,lhoo,loh
991,donx,dong
992,gthu,begitu
993,nda,indak
994,maauuu,mau
995,pacarrr,pacar
996,idamann,idaman
997,naturalllll,natural
998,bnyak,banyak
999,berntung,beruntung
1000,merka,mereka
1001,jln2,jalan-jalan
1002,romntis,romantis
1003,slamat,selamat
1004,ulan,ulang
1005,th,tahu
1006,mngkin,mungkin
1007,klau,kalau
1008,diksi,dikasih
1009,sipp,sip
1010,taun,tahun
1011,jugak,juga
1012,nungguin,menunggu
1013,ngeluarin,mengeluarkan
1014,keciill,kecil
1015,ughaa,juga
1016,"tante""",tante-tante
1017,banged,banget
1018,abeees,habis
1019,kapan2,kapan-kapan
1020,adain,mengadakan
1021,bsa,bisa
1022,bosen2,bosan-bosan
1023,sempurnaaaaa,sempurna
1024,kaan,kan
1025,kece2,kece-kece
1026,badaaiii,badai
1027,beneraan,benaran
1028,cantiiik,cantik
1029,kuatttt,kuat
1030,cantiiiiiiik,cantik
1031,cantiknyaaa,cantiknya
1032,bae2,baik-baik
1033,bgd,banget
1034,mb,mbak
1035,catiiiiik,cantik
1036,subahanallah,subhanallah
1037,jaman2nya,jaman-jamannya
1038,padet,padat
1039,buktiin,membuktikan
1040,cantiq,cantik
1041,"pasien""nya",pasien-pasiennya
1042,lohh,loh
1043,utk,untuk
1044,keeeerrrreeeennnnnnnnn,keren
1045,woow,wow
1046,choker2,choker-choker
1047,hadirrr,hadir
1048,hadirr,hadir
1049,jelashh,jelas
1050,sekali2,sekali-kali
1051,mbaaa,mbak
1052,temen,teman
1053,hidupppp,hidup
1054,nyebelin,menyebalkan
1055,diliatnya,dilihatnya
1056,abis2,habis-habis
1057,gpp,enggak apa-apa
1058,para2,parah-parah
1059,bangeeet,banget
1060,allahhhhhhh,allah
1061,gemesnya,gemasnya
1062,ilang2,hilang-hilang
1063,kmi,kami
1064,ngilangin,menghilangkan
1065,tbuh,tubuh
1066,itungan,hitungan
1067,ledekin,ledeki
1068,tmn2,teman-teman
1069,repot2,repot-repot
1070,oles2,oles-oles
1071,ckup,cukup
1072,dptkan,dapatkan
1073,artis2,artis-artis
1074,kalii,kali
1075,ninggiin,meninggikan
1076,baget,banget
1077,dri,dari
1078,kira2,kira-kira
1079,lgsg,langsung
1080,ngk,tidak
1081,ahh,ah
1082,pas2an,pas-pasan
1083,balesin,membalas
1084,gausah,enggak usah
1085,sukaaa,suka
1086,lutuna,lucunya
1087,ciapa,siapa
1088,gemesss,gemas
1089,duhh,duh
1090,terharuuu,terharu
1091,alamii,alami
1092,sampek,sampai
1093,ckrng,sekarang
1094,ngegemesin,menggemaskan
1095,imoet,imut
1096,imut2,imut-imut
1097,jagain,menjaga
1098,yahbh,ya
1099,msih,masih
1100,macem2,macam-macam
1101,neko2,neko-neko
1102,sktika,seketika
1103,lutu,lucu
1104,wowwww,wow
1105,massss,mas
1106,kesiniii,kesini
1107,"keren""",keren-keren
1108,"jalan""nya",jalan-jalannya
1109,masyaallahhh,masyaallah
1110,kerennn,keren
1111,ksni,kesini
1112,begok,bego
1113,bkan,bukan
1114,jgk,juga
1115,bawak,bawa
1116,it,itu
1117,nti,nanti
1118,pgi,pagi
1119,keeeeeren,keren
1120,baguusss,bagus
1121,mna,mana
1122,nahannnn,tahan
1123,bagaatt,banget
1124,gayannxa,gayanya
1125,kereeeen,keren
1126,uda,sudah
